track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0HosRgpD5KWgn11clEF0bv,Miss Maganda,0GMSTrBKMucDuHH46oXvqo,Rainmakers,5Kc2IrvJWj08oLlNFg2o1w,234533,1996-12-15,0,0.804,0.413,0,-15.954,1,0.0397,0.354,6.34e-06,0.146,0.72,109.975,0HosRgpD5KWgn11clEF0bv,0HosRgpD5KWgn11clEF0bv
7bhe8Wudn4b9tRz5qAxBfi,Di Bale Na Lang,0RHiqaoRCsFLPeEuj3OQz4,Gary Valenciano,2h7n0hJPUxMEAXlCBBqteq,286278,1997,33,0.833,0.748,0,-6.854,1,0.0357,0.0649,3.01e-05,0.0602,0.899,117.971,7bhe8Wudn4b9tRz5qAxBfi,7bhe8Wudn4b9tRz5qAxBfi
7ADX1hXl4eB9Qqkjp5bkQy,Annie Batungbakal,4sEykiNSzZbkFkNXTb1bVd,Hotdog,4YHeIyLIYt18RRo97uhpAl,196560,2005,35,0.774,0.901,10,-5.676,1,0.0437,0.0241,0.0157,0.0407,0.829,128.372,7ADX1hXl4eB9Qqkjp5bkQy,7ADX1hXl4eB9Qqkjp5bkQy
5qfpRcKXJiIJaLYeSxApgz,Iskul Bukol,0ez2G9qbSC3ydBl2F2GbfW,"Tito, Vic & Joey",0UbCReXPmulY5tVyopD9nJ,229000,2008-03-07,0,0.446,0.54,0,-14.66,1,0.363,0.104,9.56e-05,0.97,0.816,179.262,5qfpRcKXJiIJaLYeSxApgz,5qfpRcKXJiIJaLYeSxApgz
5iw6y1xzL1ZCkmStYa2jyK,Larawang Kupas,54l5yFx9ysazH5k5sadDrZ,JEROME ABALOS,4vJalc3yCZeBAHszvbCvUY,262146,2000,0,0.419,0.535,1,-7.877,1,0.0277,0.0181,6.42e-06,0.0935,0.293,159.738,5iw6y1xzL1ZCkmStYa2jyK,5iw6y1xzL1ZCkmStYa2jyK
0iZw6MCB3Qc9yIL44p8IHj,Ako'y Pinoy,14xDeJRwQRbJIaSBikR4KH,Florante,6vSMthGtk4jo3BPINmhNpA,148520,2009-08-06,0,0.477,0.569,2,-7.332,1,0.0294,0.0498,1.16e-05,0.137,0.538,127.531,0iZw6MCB3Qc9yIL44p8IHj,0iZw6MCB3Qc9yIL44p8IHj
5iqjA2cbN4ldNiO9pCea3Q,T.L. Ako sa'yo,65QcnpMJFv1yogXwoOe97v,Cinderella,5maiiPyD9dUefUzhZN3YQx,185386,2008,0,0.651,0.427,3,-8.487,1,0.026,0.649,5.37e-05,0.25,0.651,74.406,5iqjA2cbN4ldNiO9pCea3Q,5iqjA2cbN4ldNiO9pCea3Q
0sTLcOmbCaqFvEEE75BdKl,Boy,7rZSNFWcYQe82CrZsEdgNN,Timmy Cruz,4pk4Tf0LBugWBUZRkih5TK,271173,2009-07-08,0,0.202,0.452,5,-7.189,1,0.0292,0.437,0.0,0.178,0.178,186.357,0sTLcOmbCaqFvEEE75BdKl,0sTLcOmbCaqFvEEE75BdKl
1738sK1oCQkEPllkTdEkIc,Tipo Kong Lalake,3SwnJSTGyUXnQoHdoVWERP,DJ Alvaro,0exVvOC1wT1f0ik7XR6DKw,170266,2003-01-02,0,0.715,0.215,11,-15.263,1,0.0404,0.865,1.29e-05,0.0681,0.377,132.619,1738sK1oCQkEPllkTdEkIc,1738sK1oCQkEPllkTdEkIc
0cfQyjxj9wY5NKVzNOURoZ,Bikining Itim,6xUh63jpjIRA6N3heQWWhd,Bert Dominic,7br2TpuvJrLFiEY6xdU1aU,169575,1988-02-08,35,0.8,0.622,4,-12.843,1,0.0317,0.177,0.000818,0.116,0.958,133.697,0cfQyjxj9wY5NKVzNOURoZ,0cfQyjxj9wY5NKVzNOURoZ
16LXCXHgfm5uRsFgwXdTer,O Lumapit Ka,4sEykiNSzZbkFkNXTb1bVd,Hotdog,4YHeIyLIYt18RRo97uhpAl,120573,2005,22,0.734,0.579,9,-6.83,1,0.0317,0.108,0.0106,0.129,0.522,136.421,16LXCXHgfm5uRsFgwXdTer,16LXCXHgfm5uRsFgwXdTer
64sVDN8vGHyDf3V6bQ3Nmb,Manok ni San Pedro,6hxEKvrVdRiqItn4znxQEy,MAX SURBAN,6kZ049XLtrt5FWETMkpzQq,195906,2010-06-12,0,0.718,0.431,0,-8.498,1,0.0309,0.462,0.000313,0.316,0.804,137.95,64sVDN8vGHyDf3V6bQ3Nmb,64sVDN8vGHyDf3V6bQ3Nmb
7kdAwFpCe8xPFNT7mSFxzr,Can We Just Stop and Talk Awhile,1EHAbA1GMYOfkh9ds9eNfS,Jose Mari Chan,4sU0qZE8iMQTKAaNDJU4pw,166173,1985,0,0.351,0.231,9,-18.16,1,0.0322,0.867,0.000106,0.312,0.534,85.015,7kdAwFpCe8xPFNT7mSFxzr,7kdAwFpCe8xPFNT7mSFxzr
