popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,is_top200,predicted_top200,predicted_top200_prob
56,0.604,0.7559999999999999,2,-4.85,1,0.0352,0.0176,0.0,0.106,0.308,120.436,0,0,0.6
45,0.568,0.631,9,-11.142,0,0.0442,0.272,0.0,0.389,0.652,122.981,0,0,1.0
39,0.775,0.6409999999999999,0,-10.825,1,0.0621,0.0377,0.0,0.0424,0.8059999999999999,120.053,0,0,0.8
0,0.862,0.7709999999999999,5,-5.688,1,0.0404,0.125,0.0,0.129,0.967,120.022,0,0,0.6
0,0.963,0.871,7,-7.476,1,0.0986,0.327,0.0,0.669,0.932,122.215,0,0,1.0
0,0.568,0.5820000000000001,0,-6.434,1,0.0316,0.407,0.00196,0.6459999999999999,0.34,119.985,0,0,1.0
0,0.624,0.608,2,-7.459,1,0.0285,0.126,1.0800000000000003e-05,0.139,0.438,125.061,0,0,0.8
35,0.491,0.647,2,-9.727,1,0.0543,0.0458,0.00572,0.104,0.384,120.369,0,0,1.0
38,0.812,0.687,4,-4.933,1,0.0332,0.337,0.0,0.118,0.929,125.001,0,0,0.8
19,0.695,0.653,6,-13.174,0,0.0282,0.224,0.000956,0.268,0.914,127.255,0,0,0.6
51,0.63,0.585,2,-8.581,1,0.04,0.00393,0.0,0.0749,0.794,123.99,0,0,0.8
0,0.6509999999999999,0.254,3,-16.272000000000002,1,0.0323,0.517,3.5600000000000005e-05,0.122,0.136,123.748,0,0,0.8
24,0.625,0.68,9,-7.801,1,0.0306,0.0006889999999999999,1.89e-06,0.196,0.5920000000000001,120.045,0,0,1.0
22,0.491,0.691,2,-7.506,1,0.0317,0.15,0.0,0.157,0.732,124.313,0,0,1.0
19,0.514,0.779,7,-5.809,1,0.031,0.00189,1.3e-06,0.21,0.502,124.007,0,0,0.8
13,0.476,0.626,6,-7.221,1,0.0305,0.007259999999999998,2.8000000000000006e-05,0.135,0.449,119.995,0,0,1.0
9,0.667,0.584,3,-9.058,1,0.0282,0.00533,0.0069700000000000005,0.248,0.595,120.102,0,0,0.6
24,0.579,0.28600000000000003,10,-11.491,1,0.0364,0.7090000000000001,0.0,0.469,0.284,120.197,0,0,0.8
15,0.607,0.7140000000000001,2,-4.945,1,0.029,0.122,0.0,0.215,0.769,120.54,0,0,0.6
18,0.614,0.775,10,-4.375,1,0.0318,0.0385,0.0,0.4320000000000001,0.8909999999999999,119.039,0,0,0.6
9,0.606,0.371,9,-11.635,0,0.0281,0.768,0.00316,0.09,0.314,119.989,0,0,0.8
10,0.6659999999999999,0.622,6,-7.627000000000002,1,0.0279,0.503,2.01e-06,0.34,0.552,121.011,0,0,1.0
9,0.613,0.785,10,-4.337,1,0.0326,0.0374,0.0,0.403,0.894,119.048,0,0,0.6
40,0.7440000000000001,0.514,0,-9.768,1,0.0385,0.173,0.0,0.136,0.797,123.048,0,0,1.0
